Orf,Beyer_Phi,SEMPPR_Mean_Phi,Ingolia_Phi
YBR279W,0.073048873,0.03591824,0.338825397
YBR280C,0.012985153,0.014370606,0.005104229
YBR281C,0.023285513,0.015918754,0.05000749
YBR282W,0.155690308,0.100770462,1.07398725
YBR283C,0.408731085,0.073594483,2.729375164
YBR286W,1.256104404,0.062208655,12.51818654
YBR288C,0.069955795,0.021045434,0.326396742
YBR289W,0.015398329,0.005709894,0.036837347
YBR290W,0.052300443,0.029015478,0.604981273
YBR291C,0.028898753,0.04316287,0.138215778
YBR293W,0.010282345,0.010777869,0.014034817
YBR294W,0.000848876,0.011391592,NA
YBR295W,0.002779885,0.00379641,0.000970889
YBR296C,0.01630627,0.048172961,0.349866827
YBR297W,0.003838242,0.011881719,NA
YBR298C,0.008952532,0.017439608,NA
YBR299W,0.006474788,0.016715348,NA
YBR301W,0.118471685,1.367835708,NA
YBR302C,0.096863208,0.01503322,NA
YCL001W,0.035557667,0.154842956,5.382730444
YCL004W,0.000950234,0.015589357,NA
YCL005W,0.013312351,0.013414618,0.072367175
YCL005W-A,NA,NA,12.39601558
YCL008C,0.006380295,0.00748114,0.019773795
YCL009C,0.229304639,0.110799066,1.835567366
YCL010C,0.010324091,0.021590025,0.194760356
YCL011C,0.291633993,0.042975221,4.379397221
YCL012C,NA,NA,NA
YCL014W,0.001915082,0.002697029,0.012414158
YCL016C,0.025501522,0.018216763,0.037314642
YCL017C,0.169259797,0.047857363,0.593781654
YCL018W,0.035706928,0.154122648,NA
YCL024W,0.002484784,0.003744885,0.011655961
YCL025C,0.077276743,0.031108048,0.04611808
YCL026C-A,0.015102614,0.214690088,NA
YCL027W,0.012211404,0.013069351,0.037004842
YCL028W,0.148877935,0.043967096,1.253056736
YCL029C,0.030204524,0.01027981,0.11701738
YCL030C,0.206098069,0.021048786,4.46784011
YCL031C,0.071870603,0.064149744,2.492442957
YCL032W,0.020579756,0.032462639,0.056570873
YCL034W,0.152139174,0.008302803,0.620364152
YCL035C,0.46765614,0.130183578,5.262958607
YCL036W,0.079717419,0.004934282,0.180611298
YCL037C,0.059873851,0.079904429,1.323894413
YCL038C,0.025143507,0.011326227,0.021404081
YCL039W,0.010400964,0.007565645,0.012619809
YCL040W,0.470250909,0.014775597,NA
YCL043C,1.021788675,0.075332883,15.75098812
YCL044C,0.021882127,0.010861379,0.026134809
YCL048W,0.00377861,0.01975716,NA
YCL050C,0.430939198,0.140132809,4.598244075
YCL051W,0.002858389,0.008145606,0.027324472
YCL052C,0.027367219,0.023067703,0.136119829
YCL054W,0.070950827,0.024923663,1.025031531
YCL055W,0.009573971,0.037571301,0.473154497
YCL057W,0.054246409,0.019991577,0.236473993
YCL059C,0.07327899,0.079594307,6.108320416
YCL061C,0.00383256,0.004905644,0.018600216
YCL063W,0.015922369,0.022448547,0.041960671
YCL064C,0.222601847,0.047040222,17.25129344
YCL066W,0.016230764,0.049559175,NA
YCL067C,0.072692219,0.063045609,NA
YCL069W,0.003298157,0.006389169,NA
YCR002C,0.24680374,0.057570388,0.774855219
YCR003W,0.063579364,0.141946441,1.224612314
YCR004C,0.266650119,0.089452934,5.454472734
YCR005C,0.125365464,0.032273673,47.55252725
YCR008W,0.015091039,0.01260288,0.126005614
YCR009C,0.188165748,0.069146059,5.072563363
YCR010C,0.011154562,0.101141004,NA
YCR011C,0.072014391,0.006289581,0.293151057
YCR012W,13.21133726,0.515829882,5819.189123
YCR014C,0.007804035,0.015573577,0.004579449
YCR017C,0.090990594,0.006450751,0.166599223
YCR018C,0.01529101,0.033168346,0.436259318
YCR019W,0.012217503,0.010016503,0.050440155
YCR020C,0.014537268,0.126954812,0.009470186
YCR020C-A,0.01648947,0.228483785,1.315991112
YCR020W-B,NA,NA,5.316507007
YCR021C,0.015322351,0.077755967,NA
YCR023C,0.02645416,0.010897484,0.046613426
YCR024C,0.005310843,0.025061649,0.008157744
YCR024C-A,2.625889238,6.912294679,551.9710442
YCR026C,0.026973223,0.006610277,0.082382419
YCR027C,0.006028264,0.014010778,0.171721785
YCR028C,0.013285599,0.006037247,0.093139888
YCR028C-A,0.261413693,0.52218886,12.1849379
YCR030C,0.018185719,0.011084808,0.034561164
YCR031C,4.118884915,2.584451776,NA
YCR032W,0.003392205,0.000842378,0.003435103
YCR033W,0.009571553,0.004374042,0.035904783
YCR034W,0.344519609,0.084000965,3.398575897
YCR035C,0.127388234,0.03989304,1.107831077
YCR036W,0.03587581,0.021100519,0.744187703
YCR037C,0.005804657,0.008533969,0.062203577
YCR038C,0.001937117,0.006151686,NA
YCR039C,0.111021065,0.063045609,NA
YCR040W,0.018957708,0.049559175,NA
YCR042C,0.012683891,0.002016594,0.033449489
YCR044C,0.079661199,0.024802173,0.182085639
YCR046C,0.067818341,0.047528306,0.201293421
YCR047C,0.187163369,0.010022994,0.615795918
YCR048W,0.057204565,0.0044046,0.073403944
YCR052W,0.04696709,0.015164136,0.221338896
YCR053W,0.515944442,0.091871613,9.761654327
YCR054C,0.010478714,0.013890545,0.067887974
YCR057C,0.029588549,0.009379428,0.271524533
YCR059C,0.075314673,0.031596694,0.159433452
YCR060W,0.091772804,0.08774005,0.757654979
YCR063W,0.000910399,0.067047592,NA
